model,feature,importance
CatBoostRegressor,close_to_52w_low,16.830175001683664
CatBoostRegressor,dollar_volume_20,14.979322931080844
CatBoostClassifier,close_to_52w_low,14.886958319828059
CatBoostClassifier,rolling_std_60,13.107902918349453
CatBoostClassifier,dollar_volume_20,11.255282673728928
CatBoostRegressor,rolling_std_60,10.452553301161888
CatBoostRegressor,close_to_52w_high,10.162449779065678
CatBoostClassifier,close_to_52w_high,9.544859119622853
CatBoostRegressor,obv,7.4339126226026835
CatBoostRegressor,price_position_252d,5.123730988375707
CatBoostRegressor,rolling_std_20,5.068643982864402
CatBoostClassifier,rolling_std_20,4.986468420439209
CatBoostClassifier,obv,4.547892473676064
CatBoostClassifier,price_position_252d,4.4795146728364355
CatBoostRegressor,sma_100,4.445904119162401
CatBoostClassifier,sma_100,4.332395500981623
CatBoostRegressor,atr_14,4.215539424356651
CatBoostClassifier,adx_14,4.09192640171249
CatBoostClassifier,sharpe_60,3.0889943506672504
CatBoostRegressor,adx_14,3.080854686116513
CatBoostClassifier,bb_bandwidth_20,2.7780980075129467
CatBoostClassifier,atr_14,2.7674869521472916
CatBoostClassifier,roc_60,2.3999601123562124
CatBoostRegressor,bb_bandwidth_20,2.117070387745353
CatBoostClassifier,macd_signal,2.1148106611114192
