ticker,model,feature,importance,explainability_method
AAPL,CatBoostClassifier,close_to_52w_low,19.96744526659012,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostClassifier,rolling_std_60,12.620686484380016,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostClassifier,dollar_volume_20,12.427592127520654,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostClassifier,obv,5.468217475818038,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostClassifier,adx_14,4.937927090949018,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostRegressor,obv,20.08764143503433,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostRegressor,dollar_volume_20,17.987114592053153,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostRegressor,close_to_52w_low,12.99190842525479,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostRegressor,rolling_std_60,11.679095122901224,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,CatBoostRegressor,rolling_std_20,5.874182332526697,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,RandomForest,obv,0.3799293542998846,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,RandomForest,close_to_52w_low,0.1388674049932823,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,RandomForest,dollar_volume_20,0.1103431435458706,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,RandomForest,rolling_std_60,0.0663008547572702,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
AAPL,RandomForest,rolling_std_20,0.0596394548255237,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostClassifier,close_to_52w_low,24.1866737136852,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostClassifier,rolling_std_60,13.66029640779696,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostClassifier,close_to_52w_high,8.144211504578603,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostClassifier,dollar_volume_20,7.863850192939748,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostClassifier,price_position_252d,7.119733308851859,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostRegressor,close_to_52w_low,21.1316090043746,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostRegressor,close_to_52w_high,17.61223982695131,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostRegressor,dollar_volume_20,13.7347484355101,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostRegressor,rolling_std_60,10.837804500812334,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,CatBoostRegressor,price_position_252d,9.966364849291702,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,RandomForest,close_to_52w_high,0.2067751272132555,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,RandomForest,close_to_52w_low,0.1744388487659643,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,RandomForest,dollar_volume_20,0.1576573442397281,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,RandomForest,rolling_std_60,0.1195809183123488,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
CB,RandomForest,price_position_252d,0.0820301481440888,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostClassifier,dollar_volume_20,17.82124545692084,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostClassifier,rolling_std_60,16.435003967267075,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostClassifier,close_to_52w_low,9.35766850739238,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostClassifier,rolling_std_20,7.288386688089105,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostClassifier,close_to_52w_high,7.144843548532812,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostRegressor,dollar_volume_20,22.297557570009143,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostRegressor,close_to_52w_low,18.924642044832943,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostRegressor,rolling_std_60,16.86926646562317,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostRegressor,close_to_52w_high,8.329819374910329,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,CatBoostRegressor,rolling_std_20,4.404033045013737,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,RandomForest,rolling_std_60,0.2530056165248354,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,RandomForest,dollar_volume_20,0.2128566564112323,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,RandomForest,close_to_52w_low,0.1378577134449416,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
GOOGL,RandomForest,bb_bandwidth_20,0.0744538267935378,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
